time_s,context,numSV,hdop,cn0_mean,gnss_hAcc,lidar_score,lidar_feature_count,rel_gnss,rel_lidar,rel_localization,sigma_gnss_m,sigma_lidar_pos_m,sigma_lidar_yaw_deg,n_particles,ess,ess_ratio,meas_dim,rule_R1,rule_R2,rule_R3,rule_R4,rule_R5,rule_R6,rule_R7,rule_R8,rule_R9,rule_R10
238.6,FeaturePoor,15,1.08126067808725,42.3320880850902,0.998364421065042,0.320858804242441,141,0.893748904135576,0.130522679479096,0.907617081865391,0.9,2.06997702725053,7.6039172981019,750,504.619383151266,0.672825844201689,5,0,0,0,0,0,1,0,0,1,0
238.7,FeaturePoor,13,1.28388843623943,38.6313937412225,1.36281965479898,0.285567763222121,68,0,0.0927811806114694,0.0927811806114693,NaN,2.2376149656318,8.20741387627447,1650,1580.31847920705,0.957768775276998,3,1,0,0,0,0,1,0,0,0,0
238.8,FeaturePoor,15,1.07058312713655,38.4325293771949,1.34610547338628,0.378193744458626,57,0.840898604661902,0.116624163954276,0.859453671877166,0.902506031988238,2.13088216927371,7.82317580938534,850,710.724545286155,0.836146523866065,5,0,0,0,0,0,1,0,0,0,0
238.9,FeaturePoor,14,1.20783875719456,39.6624197046832,1.34216539005402,0.291353398225074,13,0,0.0878430495648598,0.0878430495648598,NaN,2.26007575556784,8.28827272004421,1600,1579.15738806008,0.986973367537547,3,1,0,0,0,0,1,0,0,0,0
239,FeaturePoor,15,1.1526928265067,39.6524709654367,1.12328886705974,0.319491090964969,70,0.851757068382577,0.103751563925938,0.867137504378851,0.9,2.188153147913,8.02935133248681,800,727.142335663444,0.908927919579305,5,0,0,0,0,0,1,0,0,1,0
239.1,FeaturePoor,14,1.14221319633035,39.9950065508618,1.49331098040771,0.386707486045282,81,0,0.128101057042653,0.128101057042653,NaN,2.08051941682535,7.64186990057126,1600,1561.71946744781,0.976074667154881,3,1,0,0,0,0,1,0,0,0,0
239.2,FeaturePoor,18,1.18399261239661,40.4052249427644,1.15571930870811,0.282201715698077,14,0.877850793502524,0.0850838172829702,0.888243714269415,0.9,2.27267905349375,8.33364459257751,800,628.520939835979,0.785651174794974,5,0,0,0,0,0,1,0,0,1,0
239.3,FeaturePoor,15,1.17083878459079,37.8948976941398,1.17599884651219,0.255909985797999,80,0,0.0882943607180967,0.0882943607180967,NaN,2.25801793174606,8.28086455428581,1600,1477.37578818807,0.923359867617542,3,1,0,0,0,0,1,0,0,0,0
239.4,FeaturePoor,13,1.12096024847805,39.2405087804437,0.98003795325328,0.213977151622412,76,0.811335338107741,0.0741666112141571,0.825327956736155,0.984754837175363,2.32291865947669,8.5145071741161,850,767.710189421806,0.903188458143301,5,0,0,0,0,0,1,0,0,0,0
239.5,FeaturePoor,13,1.08070963490886,37.053116464253,1.14517626467181,0.253080338471425,81,0,0.0878124720491346,0.0878124720491347,NaN,2.26021521537278,8.288774775342,1600,1540.40738044031,0.962754612775196,3,1,0,0,0,0,1,0,0,0,0
